,Stock Price,Strike Price,Time to Maturity,Risk-Free Rate,Volatility,Option Type,Option Price
137,64.2349,213.9166,0.0208,0.04,0.25,call,0.0
138,268.0608,197.0741,0.0208,0.04,0.25,call,71.1508
139,289.0736,246.1415,0.0208,0.04,0.25,call,43.1372
140,294.0195,271.3166,0.0208,0.04,0.25,call,22.972
141,162.4554,117.9035,0.0208,0.04,0.25,call,44.6501
142,194.0277,219.8834,0.0208,0.04,0.25,call,0.0005
143,99.1383,282.8679,0.0208,0.04,0.25,call,0.0
144,151.3534,102.049,0.0208,0.04,0.25,call,49.3894
145,215.723,298.8448,0.0208,0.04,0.25,call,0.0
146,286.4929,186.2422,0.0208,0.04,0.25,call,100.4058
147,130.2207,156.7808,0.0208,0.04,0.25,call,0.0
148,292.1651,79.9581,0.0208,0.04,0.25,call,212.2736
149,208.4956,116.0436,0.0208,0.04,0.25,call,92.5486
150,278.9008,200.4158,0.0208,0.04,0.25,call,78.652
151,60.4508,82.3051,0.0208,0.04,0.25,call,0.0
152,90.916,294.513,0.0208,0.04,0.25,call,0.0
153,168.3144,64.8072,0.0208,0.04,0.25,call,103.5611
154,160.3248,198.7788,0.0208,0.04,0.25,call,0.0
155,279.1906,93.3031,0.0208,0.04,0.25,call,185.9652
156,275.4411,131.9832,0.0208,0.04,0.25,call,143.5678
157,201.8573,238.6795,0.0208,0.04,0.25,call,0.0
158,221.8023,241.1509,0.0208,0.04,0.25,call,0.031
159,120.0734,140.2622,0.0208,0.04,0.25,call,0.0
160,225.7944,110.9123,0.0208,0.04,0.25,call,114.9745
161,208.1491,88.7165,0.0208,0.04,0.25,call,119.5065
162,208.5363,167.5925,0.0208,0.04,0.25,call,41.0834
163,214.1345,284.7847,0.0208,0.04,0.25,call,0.0
164,283.5148,158.2522,0.0208,0.04,0.25,call,125.3944
165,212.5776,90.1877,0.0208,0.04,0.25,call,122.4651
166,76.248,285.0979,0.0208,0.04,0.25,call,0.0
167,58.7462,87.1252,0.0208,0.04,0.25,call,0.0
168,161.1184,181.2032,0.0208,0.04,0.25,call,0.001
169,183.5715,156.1621,0.0208,0.04,0.25,call,27.5395
170,194.0616,220.3465,0.0208,0.04,0.25,call,0.0004
171,99.6117,112.4108,0.0208,0.04,0.25,call,0.0004
172,261.6328,230.2406,0.0208,0.04,0.25,call,31.5843
173,60.245,61.4715,0.0208,0.04,0.25,call,0.4106
174,194.4824,218.3081,0.0208,0.04,0.25,call,0.0015
175,247.141,82.7081,0.0208,0.04,0.25,call,164.5018
176,276.4993,214.4134,0.0208,0.04,0.25,call,62.2645
177,141.2785,239.3536,0.0208,0.04,0.25,call,0.0
178,56.6047,278.7598,0.0208,0.04,0.25,call,0.0
179,58.7246,175.7126,0.0208,0.04,0.25,call,0.0
180,146.074,226.7908,0.0208,0.04,0.25,call,0.0
181,185.3993,211.1464,0.0208,0.04,0.25,call,0.0003
182,242.9039,169.2096,0.0208,0.04,0.25,call,73.8352
183,288.2314,190.5628,0.0208,0.04,0.25,call,97.8274
184,219.5421,190.9409,0.0208,0.04,0.25,call,28.7603
185,102.0793,195.4178,0.0208,0.04,0.25,call,0.0
186,54.6144,146.5264,0.0208,0.04,0.25,call,0.0
187,107.4876,225.8759,0.0208,0.04,0.25,call,0.0
188,288.8447,234.6875,0.0208,0.04,0.25,call,54.3527
189,168.3658,195.5673,0.0208,0.04,0.25,call,0.0
190,234.3209,103.7921,0.0208,0.04,0.25,call,130.6153
191,179.0544,162.7387,0.0208,0.04,0.25,call,16.4584
192,132.479,186.6185,0.0208,0.04,0.25,call,0.0
193,219.5317,212.6543,0.0208,0.04,0.25,call,7.8298
194,227.7427,277.535,0.0208,0.04,0.25,call,0.0
195,260.4143,63.3639,0.0208,0.04,0.25,call,197.1032
196,95.9528,124.9507,0.0208,0.04,0.25,call,0.0
197,289.3791,262.4953,0.0208,0.04,0.25,call,27.1122
198,244.0751,77.9511,0.0208,0.04,0.25,call,166.1889
199,299.9207,222.1779,0.0208,0.04,0.25,call,77.9279
200,297.7733,225.0468,0.0208,0.04,0.25,call,72.9139
201,186.5458,285.7504,0.0208,0.04,0.25,call,0.0
202,257.6469,203.9226,0.0208,0.04,0.25,call,53.8942
203,177.3456,188.0134,0.0208,0.04,0.25,call,0.1546
204,114.2271,206.0021,0.0208,0.04,0.25,call,0.0
205,178.9666,271.1499,0.0208,0.04,0.25,call,0.0
206,156.4823,221.7203,0.0208,0.04,0.25,call,0.0
207,154.6678,161.9102,0.0208,0.04,0.25,call,0.2917
208,65.5377,193.8866,0.0208,0.04,0.25,call,0.0
209,231.0219,176.4657,0.0208,0.04,0.25,call,54.7031
210,135.9649,247.3699,0.0208,0.04,0.25,call,0.0
211,73.4353,94.1713,0.0208,0.04,0.25,call,0.0
212,72.0319,266.9691,0.0208,0.04,0.25,call,0.0
213,280.6445,153.4402,0.0208,0.04,0.25,call,127.3321
214,276.7692,67.6948,0.0208,0.04,0.25,call,209.1308
215,78.1705,296.591,0.0208,0.04,0.25,call,0.0
216,289.0053,199.222,0.0208,0.04,0.25,call,89.9492
217,80.5594,90.163,0.0208,0.04,0.25,call,0.0008
218,79.4824,59.1267,0.0208,0.04,0.25,call,20.4049
219,227.2868,248.9155,0.0208,0.04,0.25,call,0.0174
220,297.2183,217.0331,0.0208,0.04,0.25,call,80.366
221,50.2036,229.9803,0.0208,0.04,0.25,call,0.0
222,227.8129,63.4614,0.0208,0.04,0.25,call,164.4044
223,211.3261,295.1154,0.0208,0.04,0.25,call,0.0
224,85.0479,155.7657,0.0208,0.04,0.25,call,0.0
225,71.1881,86.8133,0.0208,0.04,0.25,call,0.0
226,52.3315,268.0757,0.0208,0.04,0.25,call,0.0
227,124.711,206.1195,0.0208,0.04,0.25,call,0.0
228,198.9972,182.6684,0.0208,0.04,0.25,call,16.4999
229,166.4128,158.3006,0.0208,0.04,0.25,call,8.455
230,137.1004,65.3596,0.0208,0.04,0.25,call,71.7952
231,67.7567,296.9389,0.0208,0.04,0.25,call,0.0
232,194.6283,239.4544,0.0208,0.04,0.25,call,0.0
233,123.3277,50.6406,0.0208,0.04,0.25,call,72.7292
234,54.8194,289.3735,0.0208,0.04,0.25,call,0.0
235,192.27,282.639,0.0208,0.04,0.25,call,0.0
236,122.4282,287.1364,0.0208,0.04,0.25,call,0.0
237,234.1456,288.7964,0.0208,0.04,0.25,call,0.0
238,263.9245,144.8833,0.0208,0.04,0.25,call,119.1619
239,234.2835,168.7514,0.0208,0.04,0.25,call,65.6727
240,259.3205,161.8365,0.0208,0.04,0.25,call,97.6188
241,231.7667,299.8679,0.0208,0.04,0.25,call,0.0
242,64.5457,150.4742,0.0208,0.04,0.25,call,0.0
243,150.8417,66.5257,0.0208,0.04,0.25,call,84.3713
244,202.0282,152.3973,0.0208,0.04,0.25,call,49.7579
245,191.5207,175.5986,0.0208,0.04,0.25,call,16.0848
246,186.2773,198.6601,0.0208,0.04,0.25,call,0.1093
247,258.768,93.4794,0.0208,0.04,0.25,call,165.3665
248,226.9542,290.1942,0.0208,0.04,0.25,call,0.0
249,103.3647,283.7078,0.0208,0.04,0.25,call,0.0
250,248.8679,104.5635,0.0208,0.04,0.25,call,144.3915
251,236.864,76.0717,0.0208,0.04,0.25,call,160.8557
252,202.8941,72.8805,0.0208,0.04,0.25,call,130.0743
253,190.4923,136.7195,0.0208,0.04,0.25,call,53.8867
254,198.4,294.2592,0.0208,0.04,0.25,call,0.0
255,119.4018,147.3931,0.0208,0.04,0.25,call,0.0
256,117.9073,140.1339,0.0208,0.04,0.25,call,0.0
257,52.6682,278.8588,0.0208,0.04,0.25,call,0.0
258,132.5795,183.0756,0.0208,0.04,0.25,call,0.0
259,188.2913,177.4531,0.0208,0.04,0.25,call,11.1168
260,239.6509,152.1762,0.0208,0.04,0.25,call,87.6014
261,193.327,52.6199,0.0208,0.04,0.25,call,140.751
262,118.9785,82.185,0.0208,0.04,0.25,call,36.8619
263,223.912,217.5213,0.0208,0.04,0.25,call,7.4864
264,256.4576,181.0871,0.0208,0.04,0.25,call,75.5213
265,70.412,140.6777,0.0208,0.04,0.25,call,0.0
266,174.1907,123.6104,0.0208,0.04,0.25,call,50.6833
267,115.9935,213.9127,0.0208,0.04,0.25,call,0.0
268,132.5754,92.9712,0.0208,0.04,0.25,call,39.6816
269,133.532,122.7395,0.0208,0.04,0.25,call,10.909
270,68.2449,159.0097,0.0208,0.04,0.25,call,0.0
271,274.244,164.4544,0.0208,0.04,0.25,call,109.9266
272,150.025,177.855,0.0208,0.04,0.25,call,0.0
273,141.5103,297.9163,0.0208,0.04,0.25,call,0.0
274,135.6534,297.68,0.0208,0.04,0.25,call,0.0
275,154.0449,156.5524,0.0208,0.04,0.25,call,1.2443
276,80.4409,125.4195,0.0208,0.04,0.25,call,0.0
277,232.5663,66.0332,0.0208,0.04,0.25,call,166.5881
278,76.5991,86.6225,0.0208,0.04,0.25,call,0.0003
279,226.2773,66.4752,0.0208,0.04,0.25,call,159.8575
280,87.0913,137.9604,0.0208,0.04,0.25,call,0.0
281,77.7939,249.9503,0.0208,0.04,0.25,call,0.0
282,167.0957,86.7272,0.0208,0.04,0.25,call,80.4407
283,233.2292,142.1579,0.0208,0.04,0.25,call,91.1898
284,84.744,114.4815,0.0208,0.04,0.25,call,0.0
285,216.8126,179.4506,0.0208,0.04,0.25,call,37.5114
286,234.1237,164.2643,0.0208,0.04,0.25,call,69.9962
287,81.0485,276.8033,0.0208,0.04,0.25,call,0.0
288,79.0806,139.7257,0.0208,0.04,0.25,call,0.0
289,270.7453,234.4997,0.0208,0.04,0.25,call,36.441
290,224.1712,208.0326,0.0208,0.04,0.25,call,16.3632
291,298.3698,201.9085,0.0208,0.04,0.25,call,96.6294
292,271.4761,137.2843,0.0208,0.04,0.25,call,134.3062
293,116.5211,51.3746,0.0208,0.04,0.25,call,65.1893
294,241.4729,274.4855,0.0208,0.04,0.25,call,0.0005
295,283.3674,66.076,0.0208,0.04,0.25,call,217.3464
296,283.2046,214.5509,0.0208,0.04,0.25,call,68.8325
297,162.9939,218.9927,0.0208,0.04,0.25,call,0.0
298,81.7364,223.9123,0.0208,0.04,0.25,call,0.0
299,99.805,281.4275,0.0208,0.04,0.25,call,0.0
300,214.6805,168.6003,0.0208,0.04,0.25,call,46.2206
301,130.0401,71.3302,0.0208,0.04,0.25,call,58.7693
302,181.9655,99.9788,0.0208,0.04,0.25,call,82.0699
303,227.8587,85.7552,0.0208,0.04,0.25,call,142.175
304,208.0149,51.7209,0.0208,0.04,0.25,call,156.3371
305,299.9422,152.4453,0.0208,0.04,0.25,call,147.6238
306,108.359,227.457,0.0208,0.04,0.25,call,0.0
307,252.2289,177.2554,0.0208,0.04,0.25,call,75.1212
308,245.9015,73.159,0.0208,0.04,0.25,call,172.8034
309,270.8333,179.882,0.0208,0.04,0.25,call,91.1012
310,264.088,297.7592,0.0208,0.04,0.25,call,0.0013
311,114.6962,181.8613,0.0208,0.04,0.25,call,0.0
312,78.0924,281.6577,0.0208,0.04,0.25,call,0.0
313,141.4409,214.0375,0.0208,0.04,0.25,call,0.0
314,129.6669,52.5161,0.0208,0.04,0.25,call,77.1945
315,203.1619,280.8288,0.0208,0.04,0.25,call,0.0
316,108.2736,148.6373,0.0208,0.04,0.25,call,0.0
317,153.1195,293.2695,0.0208,0.04,0.25,call,0.0
318,168.2959,284.2692,0.0208,0.04,0.25,call,0.0
319,211.3295,205.1352,0.0208,0.04,0.25,call,7.1947
320,276.2515,128.826,0.0208,0.04,0.25,call,147.5328
321,209.6579,265.968,0.0208,0.04,0.25,call,0.0
322,237.0165,185.472,0.0208,0.04,0.25,call,51.699
323,91.3406,276.5949,0.0208,0.04,0.25,call,0.0
324,253.3834,142.348,0.0208,0.04,0.25,call,111.154
325,259.1092,114.4393,0.0208,0.04,0.25,call,144.7653
326,254.9169,265.5569,0.0208,0.04,0.25,call,0.6311
327,68.9575,89.8024,0.0208,0.04,0.25,call,0.0
328,138.8884,188.8357,0.0208,0.04,0.25,call,0.0
329,77.8832,68.4159,0.0208,0.04,0.25,call,9.5243
330,144.4581,220.1075,0.0208,0.04,0.25,call,0.0
331,59.8503,240.7813,0.0208,0.04,0.25,call,0.0
332,191.1627,227.8112,0.0208,0.04,0.25,call,0.0
333,168.6748,185.8912,0.0208,0.04,0.25,call,0.0075
334,229.7309,64.746,0.0208,0.04,0.25,call,165.0388
335,113.2384,177.4788,0.0208,0.04,0.25,call,0.0
336,120.8546,93.9839,0.0208,0.04,0.25,call,26.9489
337,123.5881,238.9449,0.0208,0.04,0.25,call,0.0
338,280.1038,119.3159,0.0208,0.04,0.25,call,160.8872
339,268.6601,206.3633,0.0208,0.04,0.25,call,62.4687
340,57.6774,205.5075,0.0208,0.04,0.25,call,0.0
341,219.8476,121.0981,0.0208,0.04,0.25,call,98.8504
342,92.8692,278.9134,0.0208,0.04,0.25,call,0.0
343,284.2314,150.7213,0.0208,0.04,0.25,call,133.6356
344,184.6224,263.3123,0.0208,0.04,0.25,call,0.0
345,87.8123,62.3962,0.0208,0.04,0.25,call,25.4681
346,187.1654,150.1605,0.0208,0.04,0.25,call,37.13
347,88.0507,182.0647,0.0208,0.04,0.25,call,0.0
348,160.5163,213.9846,0.0208,0.04,0.25,call,0.0
349,228.7847,132.2702,0.0208,0.04,0.25,call,96.6246
350,117.7933,116.0642,0.0208,0.04,0.25,call,2.7506
351,104.428,224.9687,0.0208,0.04,0.25,call,0.0
352,96.0111,299.3601,0.0208,0.04,0.25,call,0.0
353,217.7483,196.9187,0.0208,0.04,0.25,call,20.9992
354,154.4389,99.4643,0.0208,0.04,0.25,call,55.0575
355,73.4231,78.0147,0.0208,0.04,0.25,call,0.0553
356,57.6058,195.9604,0.0208,0.04,0.25,call,0.0
357,295.6294,86.3004,0.0208,0.04,0.25,call,209.4009
358,108.3131,240.6022,0.0208,0.04,0.25,call,0.0
359,224.0522,117.3219,0.0208,0.04,0.25,call,106.828
360,143.5957,188.2092,0.0208,0.04,0.25,call,0.0
361,212.6095,127.952,0.0208,0.04,0.25,call,84.764
362,137.9068,66.6419,0.0208,0.04,0.25,call,71.3204
363,176.3088,294.2249,0.0208,0.04,0.25,call,0.0
364,261.3763,223.0779,0.0208,0.04,0.25,call,38.4841
365,290.635,133.895,0.0208,0.04,0.25,call,156.8515
366,157.065,213.7739,0.0208,0.04,0.25,call,0.0
367,178.2485,182.7295,0.0208,0.04,0.25,call,0.9864
368,144.6232,131.4468,0.0208,0.04,0.25,call,13.2917
369,122.8267,137.0995,0.0208,0.04,0.25,call,0.0016
370,248.7892,223.5721,0.0208,0.04,0.25,call,25.4068
371,69.2136,149.8599,0.0208,0.04,0.25,call,0.0
372,181.4773,177.8849,0.0208,0.04,0.25,call,4.8747
373,123.2603,132.3764,0.0208,0.04,0.25,call,0.0442
374,170.806,241.3941,0.0208,0.04,0.25,call,0.0
375,239.7343,121.0314,0.0208,0.04,0.25,call,118.8037
376,195.5327,253.1986,0.0208,0.04,0.25,call,0.0
377,68.633,299.9852,0.0208,0.04,0.25,call,0.0
378,72.1731,260.0383,0.0208,0.04,0.25,call,0.0
379,188.3211,255.8367,0.0208,0.04,0.25,call,0.0
380,126.4121,175.4799,0.0208,0.04,0.25,call,0.0
381,273.5806,209.9685,0.0208,0.04,0.25,call,63.787
382,252.0598,154.5546,0.0208,0.04,0.25,call,97.634
383,133.8334,254.3251,0.0208,0.04,0.25,call,0.0
384,270.1005,234.8393,0.0208,0.04,0.25,call,35.4569
385,92.1523,149.5685,0.0208,0.04,0.25,call,0.0
386,145.4492,76.5821,0.0208,0.04,0.25,call,68.9309
387,248.8477,241.0816,0.0208,0.04,0.25,call,8.8513
388,122.4726,292.0231,0.0208,0.04,0.25,call,0.0
389,153.544,281.4894,0.0208,0.04,0.25,call,0.0
390,285.0988,189.3118,0.0208,0.04,0.25,call,95.9447
391,233.0935,170.0056,0.0208,0.04,0.25,call,63.2294
392,172.2337,73.691,0.0208,0.04,0.25,call,98.6041
393,146.1804,269.1706,0.0208,0.04,0.25,call,0.0
394,76.9284,265.6016,0.0208,0.04,0.25,call,0.0
395,210.7851,253.1244,0.0208,0.04,0.25,call,0.0
396,239.4256,278.7147,0.0208,0.04,0.25,call,0.0
397,186.0684,275.7426,0.0208,0.04,0.25,call,0.0
398,272.4816,271.1389,0.0208,0.04,0.25,call,4.7453
399,282.443,189.5987,0.0208,0.04,0.25,call,93.0022
400,200.5347,90.8186,0.0208,0.04,0.25,call,109.7918
401,65.7343,198.235,0.0208,0.04,0.25,call,0.0
402,77.6112,148.0309,0.0208,0.04,0.25,call,0.0
403,58.3961,263.6025,0.0208,0.04,0.25,call,0.0
404,294.0367,69.0909,0.0208,0.04,0.25,call,225.0033
405,166.059,182.3808,0.0208,0.04,0.25,call,0.0099
406,74.7749,173.9417,0.0208,0.04,0.25,call,0.0
407,175.3287,235.2588,0.0208,0.04,0.25,call,0.0
408,291.0468,266.9895,0.0208,0.04,0.25,call,24.3059
409,227.737,124.2189,0.0208,0.04,0.25,call,103.6216
410,151.1223,62.5303,0.0208,0.04,0.25,call,88.6441
411,59.7548,198.6557,0.0208,0.04,0.25,call,0.0
412,91.0045,277.1048,0.0208,0.04,0.25,call,0.0
413,178.6473,87.6604,0.0208,0.04,0.25,call,91.06
414,133.3059,141.0287,0.0208,0.04,0.25,call,0.1329
415,102.2269,296.3406,0.0208,0.04,0.25,call,0.0
416,133.4722,250.4969,0.0208,0.04,0.25,call,0.0
417,94.3256,246.8114,0.0208,0.04,0.25,call,0.0
418,112.4092,54.7768,0.0208,0.04,0.25,call,57.6781
419,115.7315,125.869,0.0208,0.04,0.25,call,0.0158
420,98.7579,128.077,0.0208,0.04,0.25,call,0.0
421,299.6087,120.5835,0.0208,0.04,0.25,call,179.1256
422,282.7212,130.1367,0.0208,0.04,0.25,call,152.6929
423,231.7144,172.8223,0.0208,0.04,0.25,call,59.036
424,147.8346,152.9346,0.0208,0.04,0.25,call,0.5281
425,247.9687,106.0,0.0208,0.04,0.25,call,142.0569
426,145.1333,162.7961,0.0208,0.04,0.25,call,0.0012
427,100.5562,281.5358,0.0208,0.04,0.25,call,0.0
428,283.9881,234.2699,0.0208,0.04,0.25,call,49.9133
429,193.8039,284.8786,0.0208,0.04,0.25,call,0.0
430,247.4839,275.08,0.0208,0.04,0.25,call,0.005
431,259.375,227.8353,0.0208,0.04,0.25,call,31.7297
432,282.7369,174.4603,0.0208,0.04,0.25,call,108.4219
433,251.0074,114.9971,0.0208,0.04,0.25,call,136.1062
434,250.6768,239.9612,0.0208,0.04,0.25,call,11.3783
435,187.9593,272.6493,0.0208,0.04,0.25,call,0.0
436,261.2961,189.651,0.0208,0.04,0.25,call,71.8031
437,244.0598,233.4297,0.0208,0.04,0.25,call,11.2535
438,113.4103,251.219,0.0208,0.04,0.25,call,0.0
439,257.8007,128.7655,0.0208,0.04,0.25,call,129.1425
440,125.4355,147.3538,0.0208,0.04,0.25,call,0.0
441,113.7143,144.2445,0.0208,0.04,0.25,call,0.0
442,254.5507,223.7498,0.0208,0.04,0.25,call,30.9876
